name,county,town,phone,specialties,lat,lon
Kisumu Agrovet Centre,Kisumu,Kisumu,+254700111222,Seeds; crop protection; veterinary drugs,-0.0917,34.7680
Lakeside Farm Supplies,Kisumu,Ahero,+254700333444,Fertilizers; maize seed; pesticides,-0.1742,34.9180
Maseno Agro Dealers,Kisumu,Maseno,+254700555666,Veterinary supplies; animal feed,-0.0036,34.6000
Kibos Agrochemicals,Kisumu,Kibos,+254700777888,Crop protection; sprayers,-0.0500,34.8000
Nakuru Farmers Depot,Nakuru,Nakuru,+254711222333,Seeds; fertilizers; livestock health,-0.3031,36.0800
Eldoret Agrovet,Uasin Gishu,Eldoret,+254722333444,Maize inputs; veterinary drugs,0.5143,35.2698
Kakamega Green Inputs,Kakamega,Kakamega,+254733444555,Seeds; biopesticides; extension advice,0.2827,34.7519
Siaya Agro Centre,Siaya,Siaya,+254744555666,Crop protection; animal feed,0.0607,34.2881
Bungoma Farm Care,Bungoma,Bungoma,+254755666777,Fertilizers; veterinary supplies,0.5635,34.5606
Kericho Agro Supplies,Kericho,Kericho,+254766777888,Tea & maize inputs; pesticides,-0.3676,35.2831
